id,title,speaker,recorded_date,published_date,event,duration,views,likes,recorded_year,like ratio
1,Averting the climate crisis,Al Gore,2006-02-25,2006-06-27,TED2006,957,3681537,110000,2006,0.029878825066813126
7,Simplicity sells,David Pogue,2006-02-24,2006-06-27,TED2006,1266,2012797,60000,2006,0.029809265415240583
53,Greening the ghetto,Majora Carter,2006-02-26,2006-06-27,TED2006,1096,3006315,90000,2006,0.029936982651518552
92,The best stats you've ever seen,Hans Rosling,2006-02-22,2006-06-27,TED2006,1176,15432904,462000,2006,0.029936037961488
66,Do schools kill creativity?,Sir Ken Robinson,2006-02-25,2006-06-27,TED2006,1151,73935964,2200000,2006,0.02975547867340987
86,Letting go of God,Julia Sweeney,2006-02-24,2006-07-10,TED2006,978,4836214,145000,2006,0.02998213065013252
49,Behind the design of Seattle's library,Joshua Prince-Ramus,2006-02-23,2006-07-10,TED2006,1184,1261975,37000,2006,0.029319122803542066
71,A life of purpose,Rick Warren,2006-02-25,2006-07-18,TED2006,1248,4300620,129000,2006,0.029995675042203216
94,Let's teach religion -- all religion -- in schools,Dan Dennett,2006-02-02,2006-07-18,TED2006,1471,4227594,126000,2006,0.029804186494729625
54,My wish: A call for open-source architecture,Cameron Sinclair,2006-02-26,2006-07-25,TED2006,1394,1372030,41000,2006,0.029882728511767237
55,My wish: A global day of film,Jehane Noujaim,2006-02-26,2006-07-25,TED2006,1524,491578,14000,2006,0.02847971227353543
58,My wish: Help me stop pandemics,Larry Brilliant,2006-02-23,2006-07-25,TED2006,1536,1425026,42000,2006,0.0294731464548717
41,One Laptop per Child,Nicholas Negroponte,2006-02-23,2006-08-01,TED2006,1043,496750,14000,2006,0.028183190739808756
65,The radical promise of the multi-touch interface,Jeff Han,2006-02-06,2006-08-01,TED2006,514,4849005,145000,2006,0.02990304196427927
45,An 11-year-old's magical violin,Sirena Huang,2006-02-23,2006-08-08,TED2006,1467,3384299,101000,2006,0.029843698798480867
2,Simple designs to save a life,Amy Smith,2006-02-24,2006-08-15,TED2006,886,1829187,54000,2006,0.02952131192710204
25,The birth of the open-source learning revolution,Richard Baraniuk,2006-02-23,2006-08-21,TED2006,1100,1158184,34000,2006,0.02935630262548956
21,Meet the founder of the blog revolution,Mena Trott,2006-02-23,2006-08-25,TED2006,992,590681,17000,2006,0.028780339980463227
16,"Why we love, why we cheat",Helen Fisher,2006-02-24,2006-09-06,TED2006,1394,12217957,366000,2006,0.029955908340486056
4,The real future of space exploration,Burt Rutan,2006-02-24,2006-10-25,TED2006,1157,2563767,76000,2006,0.029643879494509445
22,Why people believe weird things,Michael Shermer,2006-02-23,2006-11-08,TED2006,791,8277475,248000,2006,0.029960827426238075
23,Fight injustice with raw video,Peter Gabriel,2006-02-23,2006-12-06,TED2006,832,1033387,31000,2006,0.029998442016398504
26,If I controlled the Internet,Rives,2006-11-30,2006-12-14,TEDSalon 2006,227,2366391,70000,2006,0.029580910339838177
10,The killer American diet that's sweeping the planet,Dean Ornish,2006-02-23,2006-12-14,TED2006,184,2861413,85000,2006,0.029705603490303566
34,Photos of endangered cultures,Phil Borges,2006-02-23,2007-01-09,TED2006,1100,1082844,32000,2006,0.029551809863655337
68,Progress is not a zero-sum game,Robert Wright,2006-02-02,2007-01-17,TED2006,1137,2033076,60000,2006,0.02951193167397579
61,"How the ""ghost map"" helped end a killer disease",Steven Johnson,2006-11-30,2007-01-31,TEDSalon 2006,590,997443,29000,2006,0.029074343095294667
90,Unleash your creativity in a Fab Lab,Neil Gershenfeld,2006-02-02,2007-02-19,TED2006,1025,908689,27000,2006,0.029713136177504075
48,Everyday inventions,Saul Griffith,2006-02-23,2007-02-19,TED2006,856,601775,18000,2006,0.029911511777657763
81,"Singing ""What I Want""",Nora York,2006-12-14,2007-04-05,TEDSalon 2006,256,454900,13000,2006,0.02857770938667839
99,"Global warming's theme song, ""Manhattan in January""",Jill Sobule,2006-02-26,2007-04-06,TED2006,142,732545,21000,2006,0.028667180855783604
108,A mockingbird remix of TED2006,Rives,2006-02-02,2007-04-09,TED2006,237,837976,25000,2006,0.0298337899892121
114,A comic sendup of TED2006,Tom Rielly,2006-02-02,2007-04-16,TED2006,1181,702838,21000,2006,0.029878862554386643
119,"""Black Men Ski""",Stew,2006-03-03,2007-05-07,TED2006,263,720744,21000,2006,0.02913655888914788
123,What squatter cities can teach us,Stewart Brand,2006-02-02,2007-05-17,TED2006,171,1176446,35000,2006,0.02975062178799537
